lpips_1,lpips_2_A,lpips_2_B
"0.24676357209682465, 0.22581753134727478, 0.20900528132915497, 0.19022910296916962, 0.17614802718162537, 0.16140319406986237, 0.14738406240940094, 0.1287788599729538, 0.10646632313728333, 0.08758058398962021","0.24676357209682465, 0.2464941143989563, 0.25685930252075195, 0.26699307560920715, 0.2817079424858093, 0.29632025957107544, 0.3048190772533417, 0.3125402629375458, 0.31931009888648987, 0.3282298445701599","0.36710456013679504, 0.328626424074173, 0.2904531955718994, 0.24738800525665283, 0.20245370268821716, 0.16436530649662018, 0.13451170921325684, 0.11183179169893265, 0.09477423131465912, 0.08758058398962021"
"0.0643954798579216, 0.04237211495637894, 0.02537526935338974, 0.02315985970199108, 0.02672155760228634, 0.030214276164770126, 0.0293696541339159, 0.029716866090893745, 0.031303465366363525, 0.04182479903101921","0.0643954798579216, 0.11282676458358765, 0.15047243237495422, 0.1888485550880432, 0.22628846764564514, 0.27317869663238525, 0.3372991979122162, 0.4025660753250122, 0.44743746519088745, 0.46511217951774597","0.45908287167549133, 0.4160406291484833, 0.37000352144241333, 0.3222498297691345, 0.26559945940971375, 0.20688918232917786, 0.15623901784420013, 0.11477441340684891, 0.0653541311621666, 0.04182479903101921"
"0.033184729516506195, 0.03608344495296478, 0.03740278631448746, 0.03943634033203125, 0.043151915073394775, 0.04725617915391922, 0.05350365489721298, 0.05848607420921326, 0.06257177144289017, 0.06239781156182289","0.033184729516506195, 0.034447554498910904, 0.04447055980563164, 0.06209663301706314, 0.08798088878393173, 0.11739031970500946, 0.14976432919502258, 0.19796860218048096, 0.25369909405708313, 0.31356069445610046","0.2981368601322174, 0.29477423429489136, 0.28624245524406433, 0.26867759227752686, 0.24691613018512726, 0.20214709639549255, 0.15375980734825134, 0.10886387526988983, 0.0727929025888443, 0.06239781156182289"
"0.17597264051437378, 0.17248272895812988, 0.16482557356357574, 0.1559249460697174, 0.14581790566444397, 0.14635981619358063, 0.13444465398788452, 0.11544333398342133, 0.09656155109405518, 0.07109344005584717","0.17597264051437378, 0.1986009031534195, 0.2430192083120346, 0.29841142892837524, 0.3452054560184479, 0.3863949179649353, 0.4231431186199188, 0.4515138864517212, 0.4736594557762146, 0.49047255516052246","0.3924112021923065, 0.34949982166290283, 0.2681466042995453, 0.1915283501148224, 0.1419599950313568, 0.10370222479104996, 0.08284199237823486, 0.07313582301139832, 0.06857705861330032, 0.07109344005584717"
"0.1687648892402649, 0.1438082903623581, 0.11982706189155579, 0.10165184736251831, 0.08407353609800339, 0.071529321372509, 0.06746843457221985, 0.07278856635093689, 0.0693126916885376, 0.06773223727941513","0.1687648892402649, 0.16178402304649353, 0.1682719886302948, 0.18075230717658997, 0.2039729356765747, 0.2335188090801239, 0.2826548218727112, 0.3361329138278961, 0.36576375365257263, 0.3789267838001251","0.3953380584716797, 0.3689100444316864, 0.34390223026275635, 0.3170396089553833, 0.2869414687156677, 0.2664661407470703, 0.24801920354366302, 0.20197850465774536, 0.09622400254011154, 0.06773223727941513"
"0.04971861094236374, 0.04648027941584587, 0.04416871815919876, 0.04188203811645508, 0.040212783962488174, 0.04102624952793121, 0.041871149092912674, 0.044653575867414474, 0.048007670789957047, 0.052825529128313065","0.04971861094236374, 0.061613619327545166, 0.08456606417894363, 0.10951350629329681, 0.132956862449646, 0.15290507674217224, 0.16743090748786926, 0.17571982741355896, 0.18216903507709503, 0.18882010877132416","0.19334225356578827, 0.135662242770195, 0.09980776906013489, 0.07601486146450043, 0.06102507561445236, 0.05382065102458, 0.051072120666503906, 0.05051436647772789, 0.05083991587162018, 0.052825529128313065"
"0.012061096727848053, 0.013138518668711185, 0.01300907600671053, 0.014978375285863876, 0.016797998920083046, 0.024834806099534035, 0.033217038959264755, 0.04896195977926254, 0.07298997789621353, 0.09363265335559845","0.012061096727848053, 0.011164548806846142, 0.02722736820578575, 0.07415152341127396, 0.16808980703353882, 0.29217416048049927, 0.33352160453796387, 0.3648609519004822, 0.3987516760826111, 0.43361619114875793","0.3947814702987671, 0.38549402356147766, 0.37265050411224365, 0.3586554527282715, 0.34053465723991394, 0.265109658241272, 0.19028274714946747, 0.1237834095954895, 0.09562720358371735, 0.09363265335559845"
"0.20419296622276306, 0.1327616274356842, 0.121590755879879, 0.11259689927101135, 0.09917044639587402, 0.08641238510608673, 0.08164440840482712, 0.07298193126916885, 0.06321634352207184, 0.05447368323802948","0.20419296622276306, 0.2310306429862976, 0.24294720590114594, 0.24694490432739258, 0.24890078604221344, 0.25452640652656555, 0.2509198486804962, 0.24524469673633575, 0.2727774977684021, 0.29969343543052673","0.39817675948143005, 0.396650105714798, 0.3956068456172943, 0.3869420289993286, 0.3711317181587219, 0.3561440706253052, 0.2791665196418762, 0.17453603446483612, 0.09604261815547943, 0.05447368323802948"
"0.09235405921936035, 0.06890179216861725, 0.05405697971582413, 0.045336078852415085, 0.04044477269053459, 0.03769538179039955, 0.03505098819732666, 0.034281209111213684, 0.03428974747657776, 0.034111615270376205","0.09235405921936035, 0.1488184928894043, 0.20077387988567352, 0.23215654492378235, 0.2570815980434418, 0.2751234769821167, 0.292479932308197, 0.3080025911331177, 0.32197707891464233, 0.3314778506755829","0.20402124524116516, 0.11259958893060684, 0.06359611451625824, 0.03835366293787956, 0.0268244668841362, 0.02243390679359436, 0.023063311353325844, 0.02583484724164009, 0.02965696156024933, 0.034111615270376205"
"0.17427238821983337, 0.11071412265300751, 0.06711290031671524, 0.03280404582619667, 0.019067972898483276, 0.016083307564258575, 0.018424618989229202, 0.021813662722706795, 0.02559366449713707, 0.027448054403066635","0.17427238821983337, 0.1478632390499115, 0.15666531026363373, 0.18369653820991516, 0.21964392066001892, 0.2532622814178467, 0.2876999080181122, 0.3179382383823395, 0.33693939447402954, 0.35314229130744934","0.3171153664588928, 0.2604931890964508, 0.2105822116136551, 0.1689978539943695, 0.13461312651634216, 0.100828155875206, 0.07030759751796722, 0.05071127414703369, 0.03727194294333458, 0.027448054403066635"
