lpips_1,lpips_2_A,lpips_2_B
"0.03280368074774742, 0.02554294280707836, 0.01878872700035572, 0.013485913164913654, 0.010584312491118908, 0.009620347060263157, 0.009427886456251144, 0.011086324229836464, 0.014896697364747524, 0.022993972525000572","0.03280368074774742, 0.04074710234999657, 0.06566089391708374, 0.10388529300689697, 0.13845527172088623, 0.16563156247138977, 0.1938982605934143, 0.22503887116909027, 0.2613981366157532, 0.3158675730228424","0.3500218093395233, 0.31637176871299744, 0.27889761328697205, 0.2358335703611374, 0.19128471612930298, 0.14984679222106934, 0.11724346876144409, 0.08508024364709854, 0.05126394331455231, 0.022993972525000572"
"0.1862446814775467, 0.1877346783876419, 0.19165776669979095, 0.19101904332637787, 0.18401187658309937, 0.1702781617641449, 0.154136061668396, 0.12560443580150604, 0.09445938467979431, 0.06260058283805847","0.1862446814775467, 0.20000503957271576, 0.21964386105537415, 0.24232354760169983, 0.2644989490509033, 0.2856394648551941, 0.3090227246284485, 0.3291396498680115, 0.3479188084602356, 0.36662188172340393","0.1608607918024063, 0.13579247891902924, 0.11141247302293777, 0.09133802354335785, 0.07535538077354431, 0.06340400874614716, 0.057331059128046036, 0.05495453253388405, 0.05654125660657883, 0.06260058283805847"
"0.12278257310390472, 0.10598316788673401, 0.08890931308269501, 0.07140623778104782, 0.05698871240019798, 0.04714192822575569, 0.04135476425290108, 0.03569554537534714, 0.033579349517822266, 0.03489763289690018","0.12278257310390472, 0.12462657690048218, 0.13450773060321808, 0.15607738494873047, 0.18052512407302856, 0.20135349035263062, 0.22126945853233337, 0.23688875138759613, 0.25578173995018005, 0.27835291624069214","0.25788915157318115, 0.22750386595726013, 0.19392335414886475, 0.1618167608976364, 0.12600243091583252, 0.09286602586507797, 0.06837867200374603, 0.0489344447851181, 0.036883462220430374, 0.03489763289690018"
"0.13752791285514832, 0.12270700931549072, 0.09305962175130844, 0.06354105472564697, 0.053371671587228775, 0.0632542073726654, 0.08078595995903015, 0.09525468200445175, 0.11150757968425751, 0.13097624480724335","0.13752791285514832, 0.1465405374765396, 0.17253755033016205, 0.20085828006267548, 0.23766672611236572, 0.27709436416625977, 0.3199443817138672, 0.3626376986503601, 0.4140268564224243, 0.45334547758102417","0.4633525013923645, 0.41447871923446655, 0.3718374967575073, 0.3311176896095276, 0.2938562333583832, 0.25589436292648315, 0.21357154846191406, 0.180596262216568, 0.1542346179485321, 0.13097624480724335"
"0.1366570144891739, 0.13743916153907776, 0.141863614320755, 0.1471077799797058, 0.15406909584999084, 0.1268971562385559, 0.1296771764755249, 0.1409950703382492, 0.15601588785648346, 0.16145414113998413","0.1366570144891739, 0.13456568121910095, 0.17371241748332977, 0.25431057810783386, 0.35628822445869446, 0.34704920649528503, 0.34697234630584717, 0.3736621141433716, 0.40713295340538025, 0.4395468533039093","0.44540783762931824, 0.47034943103790283, 0.4912494122982025, 0.46519702672958374, 0.36250388622283936, 0.26177820563316345, 0.2122098207473755, 0.18508398532867432, 0.17537696659564972, 0.16145414113998413"
"0.04528059810400009, 0.043233294039964676, 0.04172753542661667, 0.03895388916134834, 0.03316233679652214, 0.027651384472846985, 0.02327902242541313, 0.01904819719493389, 0.016551952809095383, 0.013639614917337894","0.04528059810400009, 0.04873718321323395, 0.07142496109008789, 0.1325850784778595, 0.24064217507839203, 0.2901836931705475, 0.2808240056037903, 0.2899925410747528, 0.30470794439315796, 0.32592180371284485","0.3859404921531677, 0.36521875858306885, 0.3390974700450897, 0.3298124372959137, 0.34003305435180664, 0.24582915008068085, 0.15619255602359772, 0.09667858481407166, 0.052672386169433594, 0.013639614917337894"
"0.02484157122671604, 0.022262154147028923, 0.020938070490956306, 0.023628266528248787, 0.029608752578496933, 0.040681444108486176, 0.05782515928149223, 0.0809997171163559, 0.11680617928504944, 0.15963289141654968","0.02484157122671604, 0.017392272129654884, 0.016380995512008667, 0.025818156078457832, 0.046333469450473785, 0.07556365430355072, 0.11365774273872375, 0.16445529460906982, 0.2271924763917923, 0.31187114119529724","0.27248701453208923, 0.2564542293548584, 0.2391815334558487, 0.21820974349975586, 0.19515269994735718, 0.17451585829257965, 0.15518692135810852, 0.13952073454856873, 0.13474996387958527, 0.15963289141654968"
"0.07525506615638733, 0.049429573118686676, 0.023854542523622513, 0.014407599344849586, 0.012200918979942799, 0.015811720862984657, 0.024882953613996506, 0.03186174854636192, 0.030691422522068024, 0.02839077264070511","0.07525506615638733, 0.12214551120996475, 0.15965145826339722, 0.1977127343416214, 0.2531593441963196, 0.33088502287864685, 0.43047815561294556, 0.47926270961761475, 0.4957503080368042, 0.5040411353111267","0.4653985798358917, 0.4322376251220703, 0.3927478790283203, 0.34062865376472473, 0.2824496924877167, 0.23461581766605377, 0.18789680302143097, 0.11941304802894592, 0.05898281931877136, 0.02839077264070511"
"0.00752010103315115, 0.008399887010455132, 0.01136016845703125, 0.019275058060884476, 0.03578466176986694, 0.04783619940280914, 0.05808942764997482, 0.07542185485363007, 0.10698124021291733, 0.1729312241077423","0.00752010103315115, 0.04563027620315552, 0.12804603576660156, 0.21705372631549835, 0.38385826349258423, 0.45599567890167236, 0.45573049783706665, 0.4480615258216858, 0.4437992572784424, 0.4391077160835266","0.4423305094242096, 0.38890671730041504, 0.33707118034362793, 0.3116256296634674, 0.30996596813201904, 0.17365972697734833, 0.14167682826519012, 0.14036251604557037, 0.1555192917585373, 0.1729312241077423"
"0.06901712715625763, 0.06376637518405914, 0.054652877151966095, 0.047218721359968185, 0.04178575426340103, 0.03930570185184479, 0.04388865455985069, 0.05391037464141846, 0.06927193701267242, 0.06622210144996643","0.06901712715625763, 0.13298386335372925, 0.2078191637992859, 0.2537671625614166, 0.28885984420776367, 0.3058038353919983, 0.3267691135406494, 0.36106163263320923, 0.39735305309295654, 0.4315338134765625","0.42638370394706726, 0.42757025361061096, 0.39101940393447876, 0.3362467885017395, 0.28370141983032227, 0.23306190967559814, 0.17511305212974548, 0.12374264001846313, 0.09009582549333572, 0.06622210144996643"
"0.11104176938533783, 0.09883420169353485, 0.09338849782943726, 0.0972251147031784, 0.10265817493200302, 0.10010680556297302, 0.10014231503009796, 0.10676949471235275, 0.1226927638053894, 0.14849182963371277","0.11104176938533783, 0.10289571434259415, 0.11199586093425751, 0.14250826835632324, 0.18227200210094452, 0.24150146543979645, 0.2952154278755188, 0.3350370526313782, 0.3663296401500702, 0.4022904336452484","0.3831847608089447, 0.37288495898246765, 0.3564048707485199, 0.30409106612205505, 0.25408732891082764, 0.1928742676973343, 0.15203461050987244, 0.13060639798641205, 0.12843552231788635, 0.14849182963371277"
"0.004891042597591877, 0.004279624205082655, 0.0045868707820773125, 0.007001040503382683, 0.013688022270798683, 0.0246833898127079, 0.04183780774474144, 0.06461865454912186, 0.09849506616592407, 0.14654669165611267","0.004891042597591877, 0.007085413672029972, 0.019567569717764854, 0.03955430909991264, 0.06617949157953262, 0.09874050319194794, 0.13299418985843658, 0.16899169981479645, 0.20189951360225677, 0.23262691497802734","0.28388071060180664, 0.2573118209838867, 0.230521559715271, 0.20517954230308533, 0.1841425895690918, 0.16857203841209412, 0.15741731226444244, 0.14859431982040405, 0.14479994773864746, 0.14654669165611267"
"0.057592298835515976, 0.04678303003311157, 0.020026203244924545, 0.025137441232800484, 0.032649025321006775, 0.043382175266742706, 0.049840740859508514, 0.053802162408828735, 0.06245813146233559, 0.07310502976179123","0.057592298835515976, 0.07925114780664444, 0.10387257486581802, 0.1414761245250702, 0.17836152017116547, 0.21297304332256317, 0.24969521164894104, 0.3092435300350189, 0.3855111300945282, 0.4201977252960205","0.4470641016960144, 0.4182773530483246, 0.38471513986587524, 0.3537362813949585, 0.31835412979125977, 0.2787880003452301, 0.23205286264419556, 0.1865280568599701, 0.11473173648118973, 0.07310502976179123"
"0.06392435729503632, 0.0539085790514946, 0.04718099534511566, 0.03705459088087082, 0.032016053795814514, 0.02903027832508087, 0.03211391344666481, 0.037029657512903214, 0.05023932456970215, 0.07792447507381439","0.06392435729503632, 0.059374041855335236, 0.06961329281330109, 0.07827632874250412, 0.10981696099042892, 0.14849218726158142, 0.19500137865543365, 0.24113166332244873, 0.2877912223339081, 0.32536783814430237","0.38282111287117004, 0.36656686663627625, 0.3179112672805786, 0.23823174834251404, 0.1738927960395813, 0.13060292601585388, 0.09950578957796097, 0.08245071023702621, 0.07482485473155975, 0.07792447507381439"
"0.02264099195599556, 0.021661099046468735, 0.020655851811170578, 0.019670287147164345, 0.01903030276298523, 0.0185998622328043, 0.01840997487306595, 0.018805261701345444, 0.019927266985177994, 0.02270974963903427","0.02264099195599556, 0.02652416191995144, 0.03100663237273693, 0.036035969853401184, 0.04200620576739311, 0.04851284250617027, 0.056083135306835175, 0.06484352052211761, 0.07474002242088318, 0.08668293058872223","0.04469456523656845, 0.040393173694610596, 0.036390021443367004, 0.032593078911304474, 0.029232947155833244, 0.026216691359877586, 0.02359452284872532, 0.02169148251414299, 0.020752394571900368, 0.02270974963903427"
"0.04842514544725418, 0.03646714240312576, 0.02528233826160431, 0.020993323996663094, 0.019733108580112457, 0.021643443033099174, 0.022732147946953773, 0.022109409794211388, 0.015677694231271744, 0.009897914715111256","0.04842514544725418, 0.02751050516963005, 0.028323765844106674, 0.0507487989962101, 0.09437026083469391, 0.17352989315986633, 0.3400026559829712, 0.42105770111083984, 0.4372537434101105, 0.44384753704071045","0.46406304836273193, 0.4290139377117157, 0.3943592309951782, 0.3584122359752655, 0.31337428092956543, 0.2717174291610718, 0.27766337990760803, 0.1233622208237648, 0.0395984873175621, 0.009897914715111256"
"0.08748146891593933, 0.0674227923154831, 0.053867168724536896, 0.042673494666814804, 0.036609116941690445, 0.03362346813082695, 0.03360923379659653, 0.035870082676410675, 0.039997268468141556, 0.04762120544910431","0.08748146891593933, 0.0829925686120987, 0.0796041488647461, 0.0760711058974266, 0.07551979273557663, 0.07542809844017029, 0.07778837531805038, 0.08294451236724854, 0.08954977989196777, 0.09953472018241882","0.11173662543296814, 0.10150910168886185, 0.09160526096820831, 0.0813840925693512, 0.07251669466495514, 0.06401287764310837, 0.05685368925333023, 0.05070286989212036, 0.0473531074821949, 0.04762120544910431"
"0.06030972674489021, 0.04840700700879097, 0.03688666969537735, 0.02590719424188137, 0.016762545332312584, 0.009905906394124031, 0.005673786625266075, 0.0054223681800067425, 0.010672228410840034, 0.021703824400901794","0.06030972674489021, 0.049340661615133286, 0.039028700441122055, 0.029954195022583008, 0.022765133529901505, 0.018249571323394775, 0.01724408008158207, 0.020883681252598763, 0.030904529616236687, 0.048955611884593964","0.08248107880353928, 0.06800543516874313, 0.05381995439529419, 0.040681302547454834, 0.02907305583357811, 0.019697118550539017, 0.012013040482997894, 0.007317537907510996, 0.009191884659230709, 0.021703824400901794"
"0.011051648296415806, 0.017996864393353462, 0.024873996153473854, 0.03483952581882477, 0.05249683931469917, 0.07984454929828644, 0.09443638473749161, 0.09345871210098267, 0.12384025752544403, 0.21203647553920746","0.011051648296415806, 0.016391603276133537, 0.025873996317386627, 0.03877038136124611, 0.05506002902984619, 0.07329962402582169, 0.09294270724058151, 0.1146441251039505, 0.14083121716976166, 0.167852520942688","0.3182997405529022, 0.30111977458000183, 0.2857285737991333, 0.2717287838459015, 0.25785383582115173, 0.24442562460899353, 0.2322588413953781, 0.22183740139007568, 0.2150079905986786, 0.21203647553920746"
"0.12425079196691513, 0.1225946843624115, 0.12167027592658997, 0.11832951009273529, 0.11687399446964264, 0.113919198513031, 0.11293122917413712, 0.11152317374944687, 0.11164292693138123, 0.11007899045944214","0.12425079196691513, 0.11806810647249222, 0.11269177496433258, 0.10880888253450394, 0.10664696991443634, 0.10719680041074753, 0.111520916223526, 0.1218588799238205, 0.13863782584667206, 0.1546129286289215","0.2500649392604828, 0.23576423525810242, 0.2206042855978012, 0.20550280809402466, 0.18972550332546234, 0.1737442910671234, 0.1562085747718811, 0.13802915811538696, 0.12291046231985092, 0.11007899045944214"
"0.21705935895442963, 0.19133034348487854, 0.1726721227169037, 0.15335606038570404, 0.14615461230278015, 0.12483139336109161, 0.09353548288345337, 0.06172414869070053, 0.05366022139787674, 0.06249921768903732","0.21705935895442963, 0.18417811393737793, 0.15231655538082123, 0.12797029316425323, 0.11524736881256104, 0.10709148645401001, 0.11350519210100174, 0.16327977180480957, 0.20072105526924133, 0.23262695968151093","0.44326844811439514, 0.419830322265625, 0.39657095074653625, 0.37407729029655457, 0.3529427647590637, 0.3028228282928467, 0.2126038521528244, 0.10422623157501221, 0.06457209587097168, 0.06249921768903732"
"0.10906162858009338, 0.07522938400506973, 0.059767160564661026, 0.05604115501046181, 0.0604313388466835, 0.06184061989188194, 0.06776130944490433, 0.0787445604801178, 0.09352095425128937, 0.09461534023284912","0.10906162858009338, 0.11169355362653732, 0.15134297311306, 0.2622116506099701, 0.3060675263404846, 0.3459979295730591, 0.38819536566734314, 0.4285794794559479, 0.467123806476593, 0.5045033693313599","0.4926089942455292, 0.5019479393959045, 0.5031472444534302, 0.4560159146785736, 0.30271410942077637, 0.23479518294334412, 0.18683463335037231, 0.14319226145744324, 0.11258190870285034, 0.09461534023284912"
"0.03588861972093582, 0.044094182550907135, 0.05302131921052933, 0.06312067806720734, 0.07286180555820465, 0.08581475913524628, 0.10276535153388977, 0.12800055742263794, 0.15689849853515625, 0.18155702948570251","0.03588861972093582, 0.05263923108577728, 0.0777774378657341, 0.11228890717029572, 0.15641406178474426, 0.21372663974761963, 0.26842641830444336, 0.32906949520111084, 0.3984120786190033, 0.4552590847015381","0.4094860851764679, 0.39380955696105957, 0.3716304302215576, 0.34124934673309326, 0.3104696571826935, 0.2774519622325897, 0.24170683324337006, 0.19042076170444489, 0.16553239524364471, 0.18155702948570251"
"0.019657138735055923, 0.024737009778618813, 0.03140656650066376, 0.04225364327430725, 0.05548568442463875, 0.07164359092712402, 0.10099194943904877, 0.13224567472934723, 0.19226118922233582, 0.2937345802783966","0.019657138735055923, 0.04072240740060806, 0.07323991507291794, 0.11483639478683472, 0.16306081414222717, 0.21686671674251556, 0.2812519073486328, 0.35648787021636963, 0.4252501428127289, 0.4924773573875427","0.4990507960319519, 0.47844937443733215, 0.4550296664237976, 0.4194392263889313, 0.374642938375473, 0.32707223296165466, 0.2891708314418793, 0.268574595451355, 0.26884403824806213, 0.2937345802783966"
"0.13175813853740692, 0.11310535669326782, 0.09460489451885223, 0.07873255014419556, 0.06471971422433853, 0.0536470040678978, 0.04394662380218506, 0.03741157799959183, 0.03615933656692505, 0.03629684075713158","0.13175813853740692, 0.13816215097904205, 0.1683567464351654, 0.17683343589305878, 0.1915385127067566, 0.20690220594406128, 0.22557701170444489, 0.25032851099967957, 0.28414827585220337, 0.32407158613204956","0.3635709583759308, 0.35846611857414246, 0.30112120509147644, 0.24050919711589813, 0.19453206658363342, 0.1510719209909439, 0.10849792510271072, 0.07350555807352066, 0.04884083569049835, 0.03629684075713158"
"0.02619405835866928, 0.02186734229326248, 0.0231251809746027, 0.02914450690150261, 0.03898320347070694, 0.05830651521682739, 0.07312667369842529, 0.08920918405056, 0.10838783532381058, 0.12505774199962616","0.02619405835866928, 0.027245832607150078, 0.03716064989566803, 0.05451104789972305, 0.0776982307434082, 0.11353370547294617, 0.15219712257385254, 0.2073439061641693, 0.2751801013946533, 0.35240110754966736","0.2880997061729431, 0.2647242844104767, 0.24292638897895813, 0.21900472044944763, 0.19493623077869415, 0.1664164960384369, 0.1381855309009552, 0.1136808842420578, 0.10819337517023087, 0.12505774199962616"
"0.13199438154697418, 0.1163104772567749, 0.0989493876695633, 0.08334647119045258, 0.06942819058895111, 0.058500856161117554, 0.05016780644655228, 0.044386960566043854, 0.04144776612520218, 0.040001433342695236","0.13199438154697418, 0.10682891309261322, 0.09643570333719254, 0.10060916095972061, 0.11735799908638, 0.13956382870674133, 0.1640445590019226, 0.18493399024009705, 0.20147909224033356, 0.21513788402080536","0.2807411253452301, 0.22629165649414062, 0.17672859132289886, 0.13407114148139954, 0.09718932211399078, 0.07085169851779938, 0.054138317704200745, 0.04456101730465889, 0.040525518357753754, 0.040001433342695236"
"0.21471479535102844, 0.13004648685455322, 0.08929886668920517, 0.06104008108377457, 0.04155704379081726, 0.03038753941655159, 0.0334710031747818, 0.041998203843832016, 0.0529169887304306, 0.06286666542291641","0.21471479535102844, 0.20348292589187622, 0.2123182862997055, 0.23257939517498016, 0.2639596462249756, 0.30598217248916626, 0.3521024286746979, 0.3752947747707367, 0.39093029499053955, 0.4054068326950073","0.495194673538208, 0.43765681982040405, 0.3971419036388397, 0.3687252402305603, 0.331043004989624, 0.23679886758327484, 0.1285698413848877, 0.07504849135875702, 0.05890139192342758, 0.06286666542291641"
"0.04039652645587921, 0.042989201843738556, 0.04562947526574135, 0.04753986746072769, 0.046343982219696045, 0.04494480416178703, 0.03960499167442322, 0.03831155598163605, 0.04752982035279274, 0.04925752803683281","0.04039652645587921, 0.07028349488973618, 0.10792878270149231, 0.15126517415046692, 0.19559240341186523, 0.2365768551826477, 0.28004539012908936, 0.3287515640258789, 0.385282427072525, 0.46095722913742065","0.4247852563858032, 0.39679625630378723, 0.3662202060222626, 0.3338445723056793, 0.29864493012428284, 0.25784701108932495, 0.2095552384853363, 0.15588811039924622, 0.09941572695970535, 0.04925752803683281"
"0.05224527418613434, 0.04160279780626297, 0.0368523970246315, 0.03871750086545944, 0.04754524677991867, 0.06298147886991501, 0.0769716128706932, 0.09180514514446259, 0.11982603371143341, 0.15882882475852966","0.05224527418613434, 0.05046924948692322, 0.07408520579338074, 0.12015664577484131, 0.17787101864814758, 0.24272678792476654, 0.3133721649646759, 0.3846323788166046, 0.4576129913330078, 0.5269970297813416","0.5309213399887085, 0.4702470004558563, 0.41178098320961, 0.35739296674728394, 0.3061627745628357, 0.24461987614631653, 0.1899569034576416, 0.1562957614660263, 0.15073446929454803, 0.15882882475852966"
"0.03964337706565857, 0.03780355677008629, 0.03453057259321213, 0.03005197085440159, 0.029960034415125847, 0.033528901636600494, 0.03657013550400734, 0.04156333953142166, 0.05025186762213707, 0.05782181769609451","0.03964337706565857, 0.04611603915691376, 0.0718829557299614, 0.10908738523721695, 0.14719855785369873, 0.1876990795135498, 0.23046864569187164, 0.2781829833984375, 0.3238658905029297, 0.3631669878959656","0.375570148229599, 0.33951470255851746, 0.30501288175582886, 0.2725066542625427, 0.23977339267730713, 0.19764190912246704, 0.14549756050109863, 0.10626430809497833, 0.07441531121730804, 0.05782181769609451"
"0.030174141749739647, 0.024501536041498184, 0.020967092365026474, 0.022528773173689842, 0.0279941875487566, 0.03496509790420532, 0.04677511006593704, 0.0558897964656353, 0.05988780036568642, 0.062020085752010345","0.030174141749739647, 0.029405131936073303, 0.03725791722536087, 0.06135286018252373, 0.10358084738254547, 0.16377709805965424, 0.2367936074733734, 0.31095314025878906, 0.38777613639831543, 0.46172410249710083","0.47804102301597595, 0.45146411657333374, 0.4163266122341156, 0.38119497895240784, 0.34383270144462585, 0.2991693913936615, 0.24143312871456146, 0.1685945987701416, 0.1075618714094162, 0.062020085752010345"
"0.12323231995105743, 0.08569549024105072, 0.06974276900291443, 0.0745331197977066, 0.09272037446498871, 0.11707870662212372, 0.14189288020133972, 0.16888298094272614, 0.19046162068843842, 0.19985416531562805","0.12323231995105743, 0.11520814150571823, 0.11396275460720062, 0.11707335710525513, 0.12062576413154602, 0.1354994922876358, 0.17214253544807434, 0.2549559772014618, 0.28139838576316833, 0.32437846064567566","0.5028561353683472, 0.49666285514831543, 0.49459850788116455, 0.4911925792694092, 0.4827406108379364, 0.4670405983924866, 0.4249626398086548, 0.35008615255355835, 0.24914054572582245, 0.19985416531562805"
"0.06595132499933243, 0.0552971251308918, 0.04280376806855202, 0.03435896709561348, 0.024695932865142822, 0.014959637075662613, 0.01172969676554203, 0.016319677233695984, 0.03122858703136444, 0.09470392763614655","0.06595132499933243, 0.06447135657072067, 0.0701197162270546, 0.07698813080787659, 0.08483178168535233, 0.09648242592811584, 0.10857859998941422, 0.119907446205616, 0.1329713761806488, 0.14538946747779846","0.1494586020708084, 0.1303628832101822, 0.12567958235740662, 0.11649462580680847, 0.1082889586687088, 0.10405706614255905, 0.10075044631958008, 0.09880004078149796, 0.09638358652591705, 0.09470392763614655"
"0.12883822619915009, 0.10922373086214066, 0.10571345686912537, 0.10918091237545013, 0.12274159491062164, 0.14105620980262756, 0.16195771098136902, 0.18921366333961487, 0.21248815953731537, 0.2108372300863266","0.12883822619915009, 0.13076002895832062, 0.13776017725467682, 0.15115489065647125, 0.17183056473731995, 0.19862104952335358, 0.23576383292675018, 0.277715265750885, 0.3414354622364044, 0.4152641296386719","0.26469486951828003, 0.25522923469543457, 0.24742209911346436, 0.23997895419597626, 0.2324114590883255, 0.22688166797161102, 0.22718171775341034, 0.2279546856880188, 0.2188970446586609, 0.2108372300863266"
"0.02069578319787979, 0.016263039782643318, 0.013062325306236744, 0.010574674233794212, 0.009559215977787971, 0.010059718042612076, 0.012551709078252316, 0.017507506534457207, 0.02495427429676056, 0.03423655405640602","0.02069578319787979, 0.02437099814414978, 0.03077162615954876, 0.03929557651281357, 0.049720585346221924, 0.06184010207653046, 0.07635221630334854, 0.09201167523860931, 0.1076900064945221, 0.1239306628704071","0.11300011724233627, 0.09686847776174545, 0.08232328295707703, 0.06901559233665466, 0.05696816369891167, 0.046731121838092804, 0.038562919944524765, 0.03380211815237999, 0.03269427642226219, 0.03423655405640602"
"0.12782268226146698, 0.1098364070057869, 0.09457933902740479, 0.08053255081176758, 0.06901085376739502, 0.05845506116747856, 0.04916004091501236, 0.04441222548484802, 0.042714133858680725, 0.039166197180747986","0.12782268226146698, 0.107448510825634, 0.0926399677991867, 0.08261431753635406, 0.08037792891263962, 0.08512740582227707, 0.09711010754108429, 0.11241415143013, 0.1192462369799614, 0.1281520128250122","0.26229339838027954, 0.23290705680847168, 0.2027597725391388, 0.17125442624092102, 0.14289246499538422, 0.11789793521165848, 0.09849892556667328, 0.08038090914487839, 0.05700179189443588, 0.039166197180747986"
"0.01702727936208248, 0.01817389950156212, 0.020170889794826508, 0.023188486695289612, 0.026049265637993813, 0.02844998799264431, 0.03168698400259018, 0.03664742782711983, 0.04275995492935181, 0.047663018107414246","0.01702727936208248, 0.018360719084739685, 0.022729653865098953, 0.030784444883465767, 0.042562175542116165, 0.05931000038981438, 0.07939887791872025, 0.10190830379724503, 0.12538552284240723, 0.15052564442157745","0.16674797236919403, 0.1534174084663391, 0.13758325576782227, 0.12155933678150177, 0.10389144718647003, 0.0871899425983429, 0.07186125963926315, 0.05996187403798103, 0.052417412400245667, 0.047663018107414246"
"0.048196837306022644, 0.054296448826789856, 0.06360795348882675, 0.07530289143323898, 0.09478853642940521, 0.1231256052851677, 0.15836957097053528, 0.1984715759754181, 0.25380825996398926, 0.31796348094940186","0.048196837306022644, 0.049479395151138306, 0.06180541589856148, 0.08816172927618027, 0.13648128509521484, 0.21394522488117218, 0.2905677556991577, 0.31982600688934326, 0.3285117745399475, 0.33879703283309937","0.4006292521953583, 0.38383162021636963, 0.37051820755004883, 0.35597068071365356, 0.34603551030158997, 0.353276789188385, 0.3505398631095886, 0.341252863407135, 0.3333345055580139, 0.31796348094940186"
"0.2561069428920746, 0.24586699903011322, 0.23125621676445007, 0.21145647764205933, 0.19414275884628296, 0.18089242279529572, 0.17001162469387054, 0.15395841002464294, 0.13745428621768951, 0.11319907009601593","0.2561069428920746, 0.25981009006500244, 0.26134270429611206, 0.26215651631355286, 0.271119624376297, 0.28695327043533325, 0.3090326189994812, 0.33795440196990967, 0.37319523096084595, 0.4125366806983948","0.2830565571784973, 0.2623482346534729, 0.23913970589637756, 0.2132972925901413, 0.17363646626472473, 0.136471226811409, 0.10543753951787949, 0.08958215266466141, 0.0945240706205368, 0.11319907009601593"
"0.009066740982234478, 0.014494236558675766, 0.02487276680767536, 0.04151349142193794, 0.06368158757686615, 0.08515138179063797, 0.10653043538331985, 0.13995420932769775, 0.19988997280597687, 0.2644004821777344","0.009066740982234478, 0.016337160021066666, 0.02888861671090126, 0.04768233373761177, 0.07121943682432175, 0.09769324958324432, 0.12510202825069427, 0.15802696347236633, 0.20081961154937744, 0.245087668299675","0.18871437013149261, 0.17954418063163757, 0.16745854914188385, 0.15696623921394348, 0.15264257788658142, 0.15281476080417633, 0.16518719494342804, 0.1881866604089737, 0.22772593796253204, 0.2644004821777344"
"0.15294356644153595, 0.14471572637557983, 0.1368977129459381, 0.12799978256225586, 0.12198078632354736, 0.12367059290409088, 0.12617385387420654, 0.1274363398551941, 0.12998336553573608, 0.1331128478050232","0.15294356644153595, 0.17544971406459808, 0.20231114327907562, 0.23788268864154816, 0.28390002250671387, 0.32740193605422974, 0.3680266737937927, 0.40745964646339417, 0.4439374506473541, 0.4616207480430603","0.3510308861732483, 0.3302342891693115, 0.3080926835536957, 0.2849704623222351, 0.26310133934020996, 0.23428043723106384, 0.20158392190933228, 0.16268451511859894, 0.1338038593530655, 0.1331128478050232"
"0.1547044962644577, 0.1511905938386917, 0.14434213936328888, 0.1296207159757614, 0.1172259971499443, 0.09920209646224976, 0.08170584589242935, 0.06780067086219788, 0.07560241967439651, 0.10263799130916595","0.1547044962644577, 0.1486649513244629, 0.13642680644989014, 0.13302452862262726, 0.1425279676914215, 0.1762915700674057, 0.18380574882030487, 0.16371673345565796, 0.1643209457397461, 0.18127389252185822","0.39498239755630493, 0.39137616753578186, 0.35768431425094604, 0.3116322159767151, 0.26571476459503174, 0.22452989220619202, 0.1789931058883667, 0.1404103934764862, 0.11711789667606354, 0.10263799130916595"
"0.08245410025119781, 0.08102455735206604, 0.0779045820236206, 0.07492052018642426, 0.07384975254535675, 0.07387591898441315, 0.07552565634250641, 0.08263394236564636, 0.08958061039447784, 0.1036338284611702","0.08245410025119781, 0.08379329741001129, 0.08806939423084259, 0.09400799125432968, 0.10278177261352539, 0.11030711233615875, 0.11672914028167725, 0.12654928863048553, 0.13403169810771942, 0.14168377220630646","0.14986708760261536, 0.13704808056354523, 0.1245904341340065, 0.11459310352802277, 0.11075203120708466, 0.10625927150249481, 0.10330177843570709, 0.10427957773208618, 0.10264717042446136, 0.1036338284611702"
"0.21230080723762512, 0.14564193785190582, 0.10801298916339874, 0.07637500762939453, 0.051287807524204254, 0.03652801364660263, 0.024122603237628937, 0.016546929255127907, 0.011638307943940163, 0.009340967983007431","0.21230080723762512, 0.1471857726573944, 0.12002021074295044, 0.12464272975921631, 0.1567450612783432, 0.20258012413978577, 0.25563180446624756, 0.3082658052444458, 0.35415491461753845, 0.3958705961704254","0.47821080684661865, 0.4357072412967682, 0.38693028688430786, 0.313701331615448, 0.25027698278427124, 0.18510468304157257, 0.11725062131881714, 0.06474266946315765, 0.026807766407728195, 0.009340967983007431"
"0.12400069087743759, 0.15959960222244263, 0.1907617449760437, 0.21145008504390717, 0.2216615229845047, 0.220102459192276, 0.22357015311717987, 0.224090576171875, 0.22407542169094086, 0.2223866879940033","0.12400069087743759, 0.1311168670654297, 0.14333029091358185, 0.15563571453094482, 0.17131464183330536, 0.18332020938396454, 0.19952066242694855, 0.2180711030960083, 0.23895248770713806, 0.2593845725059509","0.31742972135543823, 0.2986503839492798, 0.2822748124599457, 0.2664583921432495, 0.25420987606048584, 0.24115586280822754, 0.23095712065696716, 0.22447507083415985, 0.22238922119140625, 0.2223866879940033"
